file,age,gender,race
0.jpg,6,0,0
1.jpg,4,1,1
2.jpg,1,1,2
3.jpg,3,1,1
4.jpg,3,1,1
5.jpg,3,0,3
6.jpg,5,0,4
7.jpg,4,1,1
8.jpg,2,0,3
9.jpg,4,0,4
10.jpg,6,0,0
11.jpg,3,0,0
12.jpg,3,0,5
13.jpg,2,0,1
14.jpg,7,1,1
15.jpg,4,1,3
16.jpg,3,1,6
17.jpg,5,0,6
18.jpg,0,1,2
19.jpg,6,0,6
20.jpg,3,1,1
21.jpg,4,1,4
22.jpg,3,1,2
23.jpg,4,1,3
24.jpg,3,1,3
25.jpg,4,1,2
26.jpg,6,1,3
27.jpg,2,1,3
28.jpg,3,0,1
29.jpg,3,1,2
30.jpg,5,1,2
31.jpg,2,1,0
32.jpg,6,0,3
33.jpg,5,0,4
34.jpg,3,0,0
35.jpg,7,1,4
36.jpg,3,1,5
37.jpg,4,0,5
38.jpg,6,0,4
39.jpg,3,1,5
40.jpg,3,0,3
41.jpg,2,1,2
42.jpg,2,1,6
43.jpg,5,0,5
44.jpg,2,0,1
45.jpg,2,1,1
46.jpg,7,0,0
47.jpg,1,1,4
48.jpg,2,1,6
49.jpg,6,1,2
50.jpg,1,1,0
51.jpg,7,0,5
52.jpg,6,0,6
53.jpg,4,1,0
54.jpg,4,0,6
55.jpg,4,0,3
56.jpg,3,0,2
57.jpg,5,1,5
58.jpg,2,1,5
59.jpg,2,1,5
60.jpg,1,0,0
61.jpg,2,0,1
62.jpg,5,0,1
63.jpg,3,0,6
64.jpg,4,0,0
65.jpg,4,0,5
66.jpg,2,1,5
67.jpg,7,0,3
68.jpg,6,0,6
69.jpg,4,0,1
70.jpg,7,1,1
71.jpg,4,0,5
72.jpg,4,1,5
73.jpg,3,1,6
74.jpg,4,0,1
75.jpg,3,0,6
76.jpg,6,1,2
77.jpg,3,1,4
78.jpg,5,0,5
79.jpg,4,0,3
80.jpg,4,1,2
81.jpg,4,0,1
82.jpg,5,0,3
83.jpg,2,1,2
84.jpg,3,1,3
85.jpg,3,1,2
86.jpg,3,0,2
87.jpg,3,1,6
88.jpg,5,0,1
89.jpg,6,0,1
90.jpg,4,0,5
91.jpg,0,1,0
92.jpg,4,1,3
93.jpg,1,1,5
